da,text,delex_da,delex_text
"inform(near=""Charles Bridge"")&inform(name=BarBar)&inform(food=Mexican)&inform(kids_allowed=yes)",BarBar poblíž Karlova mostu podává mexická jídla a není vhodný pro děti.,inform(near=X-near)&inform(name=X-name)&inform(food=X-food)&inform(kids_allowed=yes),X-name poblíž X-near podává X-food jídla a není vhodný pro děti .
"inform(area=Karlín)&inform(name=""Kočár z Vídně"")&inform(phone=244609629)","Restaurace Kočár z Vídně se nachází v Karlíně, jejich telefonní číslo je 244609629",inform(area=X-area)&inform(name=X-name)&inform(phone=X-phone),"restaurace X-name se nachází v X-area , jejich telefonní číslo je X-phone"
goodbye(),Děkuji za zavolání. Na shledanou.,goodbye(),děkuji za zavolání . na shledanou .
"inform(name=""Pivo & Basilico"")&inform(price_range=cheap)&inform(kids_allowed=yes)","Pivo & Basilico je levný podnik, kam mohou děti.",inform(name=X-name)&inform(price_range=X-price_range)&inform(kids_allowed=yes),"X-name je X-price_range podnik , kam mohou děti ."
?confirm(price_range=expensive),Hledáte nějakou drahou restauraci?,?confirm(price_range=X-price_range),hledáte nějakou X-price_range restauraci ?
?confirm(price_range=cheap),Hledáte tedy levnou restauraci?,?confirm(price_range=X-price_range),hledáte tedy X-price_range restauraci ?
"inform(name=""Kočár z Vídně"")&inform(type=restaurant)",Našla jsem dobrou restauraci jménem Kočár z Vídně.,inform(name=X-name)&inform(type=restaurant),našla jsem dobrou restauraci jménem X-name .
?request(price_range),Jakou cenovou relaci preferujete?,?request(price_range),jakou cenovou relaci preferujete ?
"inform(area=Hradčany)&inform(address=""Štefánikova 24"")&inform(name=Místo)",Místo se nachází na Hradčanech a jeho adresa je Štefánikova 24.,inform(area=X-area)&inform(address=X-address)&inform(name=X-name),X-name se nachází na X-area a jeho adresa je X-address .
goodbye(),Tak na slyšenou !,goodbye(),tak na slyšenou !
"inform(name=""U Konšelů"")&inform(area=""Staré Město"")",U Konšelů se nachází na Starém Městě.,inform(name=X-name)&inform(area=X-area),X-name se nachází v X-area .
"inform(food=Italian)&inform(name=""Kočár z Vídně"")",Našla jsem Italskou restauraci jménem Kočár z Vídně.,inform(food=X-food)&inform(name=X-name),našla jsem X-food restauraci jménem X-name .
"inform(area=Karlín)&inform(name=""U Konšelů"")&inform(food=Indian)",Restaurace U Konšelů ve čtvrti Karlín podává indická jídla.,inform(area=X-area)&inform(name=X-name)&inform(food=X-food),restaurace X-name ve čtvrti X-area podává X-food jídla .
"inform(name=""Kočár z Vídně"")&inform(kids_allowed=no)",Kočár z Vídně není přístupné dětem.,inform(name=X-name)&inform(kids_allowed=no),X-name není přístupné dětem .
inform(name=Ferdinanda)&inform(phone=276336662),Do Ferdinandy můžete zavolat na číslo 276336662.,inform(name=X-name)&inform(phone=X-phone),do X-name můžete zavolat na číslo X-phone .
"inform(area=Žižkov)&inform(name=""Café Savoy"")",Na Žižkově leží restaurace Café Savoy.,inform(area=X-area)&inform(name=X-name),v X-area leží restaurace X-name .
goodbye(),Rádo se stalo. Na shledanou.,goodbye(),rádo se stalo . na shledanou .
"inform(name=""Pivo & Basilico"")&inform(food=German)&inform(kids_allowed=no)","Je zde příjemná restaurace jménem Pivo & Basilico, kde podávají německá jídla a kde není povolen vstup s dětmi.",inform(name=X-name)&inform(food=X-food)&inform(kids_allowed=no),"je zde příjemná restaurace jménem X-name , kde podávají X-food jídla a kde není povolen vstup s dětmi ."
"inform(address=""Kaprova 37"")&inform(name=Ananta)",Restauraci Ananta najdete na adrese Kaprova 37.,inform(address=X-address)&inform(name=X-name),restauraci X-name najdete na adrese X-address .
"inform(name=""Švejk Restaurant"")&inform(phone=215920806)",Telefonní číslo do restaurace Švejk je 215920806.,inform(name=X-name)&inform(phone=X-phone),telefonní číslo do restaurace X-name je X-phone .
inform(name=Místo)&inform(area=Smíchov),Místo snadno najdete na Smíchově.,inform(name=X-name)&inform(area=X-area),X-name snadno najdete v X-area .
goodbye(),"Děkuju Vám, na shledanou.",goodbye(),"děkuju vám , na shledanou ."
?request(food),Jaký druh jídla si přejete?,?request(food),jaký druh jídla si přejete ?
"inform(food=Turkish)&inform(name=""Pivo & Basilico"")",Pivo & Basilico je turecká restaurace,inform(food=X-food)&inform(name=X-name),X-name je X-food restaurace
"inform(address=""Újezd 14"")&inform(name=""Café Savoy"")&inform(postcode=""128 00"")",Café Savoy najdete na adrese Újezd 14. Poštovní směrovací číslo je 128 00.,inform(address=X-address)&inform(name=X-name)&inform(postcode=X-postcode),X-name najdete na adrese X-address . poštovní směrovací číslo je X-postcode .
goodbye(),"Nemáte zač, tak na shledanou.",goodbye(),"nemáte zač , tak na shledanou ."
"inform(price_range=moderate)&inform(name=""U Tučňáků"")&inform(food=German)&inform(kids_allowed=no)","Restaurace U Tučňáků nabízí německou kuchyni, má normální ceny a není vhodná pro děti.",inform(price_range=X-price_range)&inform(name=X-name)&inform(food=X-food)&inform(kids_allowed=no),"restaurace X-name nabízí X-food kuchyni , má X-price_range ceny a není vhodná pro děti ."
"inform(area=Vinohrady)&inform(address=""Újezd 49"")&inform(phone=216855008)&inform(name=BarBar)","BarBar je restaurace v lokalitě Vinohrady, její adresa je Újezd 49, telefonní číslo je 216855008.",inform(area=X-area)&inform(address=X-address)&inform(phone=X-phone)&inform(name=X-name),"X-name je restaurace v lokalitě X-area , její adresa je X-address , telefonní číslo je X-phone ."
goodbye(),Není za co ! Na shledanou.,goodbye(),není za co ! na shledanou .
"inform(name=""Café Savoy"")&inform(food=Asian)&inform(price_range=moderate)",Kavárna Savoy nabízí asijskou kuchyni za středně drahé ceny.,inform(name=X-name)&inform(food=X-food)&inform(price_range=X-price_range),X-name nabízí X-food kuchyni za X-price_range ceny .
"inform(area=Smíchov)&inform(name=""Švejk Restaurant"")&inform(phone=220249450)",Švejk Restaurant je poblíž Smíchova a telefonní číslo je 220249450,inform(area=X-area)&inform(name=X-name)&inform(phone=X-phone),X-name je poblíž X-area a telefonní číslo je X-phone
goodbye(),Nemáte zač. Bylo mi potěšením.,goodbye(),nemáte zač . bylo mi potěšením .
?request(price_range),Jakou cenovou kategorii hledáte?,?request(price_range),jakou cenovou kategorii hledáte ?
inform(type=restaurant)&inform(price_range=dont_care)&inform(count=134),Mám tu 134 restaurací v různých cenových skupinách.,inform(type=restaurant)&inform(price_range=dont_care)&inform(count=X-count),mám tu X-count restaurací v různých cenových skupinách .
?request(near),Poblíž čeho si přejete hledat?,?request(near),poblíž čeho si přejete hledat ?
?request(price_range),Jakou cenovou kategorii byste si přáli?,?request(price_range),jakou cenovou kategorii byste si přáli ?
"inform(name=""U Tučňáků"")&inform(near=""Petřín Tower"")&inform(price_range=cheap)",U Tučňáků je příjemná restaurace blízko Petřínské věže s nízkými cenami.,inform(name=X-name)&inform(near=X-near)&inform(price_range=X-price_range),X-name je příjemná restaurace blízko X-near s X-price_range cenami .
"inform(name=""Green Spirit"")&inform(address=""Štefánikova 10"")",Adresa restaurace Green Spirit je Štefánikova 10.,inform(name=X-name)&inform(address=X-address),adresa restaurace X-name je X-address .
"inform(near=""Old Town Square"")&inform(name=Místo)",Místo je krásná restaurace nedaleko od Staroměstského náměstí.,inform(near=X-near)&inform(name=X-name),X-name je krásná restaurace nedaleko od X-near .
goodbye(),Děkuji. Na shledanou.,goodbye(),děkuji . na shledanou .
inform_no_match(price_range=moderate)&inform_no_match(food=Italian)&inform_no_match(kids_allowed=yes),"Je mi líto, ale nemám tu žádné italské restaurace s průměrnými cenami, kam by mohly děti.",inform_no_match(price_range=X-price_range)&inform_no_match(food=X-food)&inform_no_match(kids_allowed=yes),"je mi líto , ale nemám tu žádné X-food restaurace s X-price_range cenami , kam by mohly děti ."
goodbye(),Přeji příjemný den,goodbye(),přeji příjemný den
inform(name=BarBar)&inform(price_range=expensive),BarBar je ve drahé cenové skupině.,inform(name=X-name)&inform(price_range=X-price_range),X-name je ve X-price_range cenové skupině .
?reqmore(),Jak vám ještě mohu pomoci?,?reqmore(),jak vám ještě mohu pomoci ?
?reqmore(),Jak vám ještě mohu pomoci?,?reqmore(),jak vám ještě mohu pomoci ?
"inform(name=""Švejk Restaurant"")&inform(area=Hradčany)",Restauraci Švejk Restaurant najdete na Hradčanech.,inform(name=X-name)&inform(area=X-area),restauraci X-name najdete na X-area .
"inform(address=""Národní 13"")&inform(name=""Baráčnická rychta"")",Adresa Baráčnické rychty je Národní 13,inform(address=X-address)&inform(name=X-name),adresa X-name je X-address
goodbye(),"Nemáte zač, tak na shledanou.",goodbye(),"nemáte zač , tak na shledanou ."
"inform(food=Italian)&inform(name=""Café Kampus"")&inform(good_for_meal=dinner)",Café Kampus podává italské pokrmy a dá se zde dobře navečeřet.,inform(food=X-food)&inform(name=X-name)&inform(good_for_meal=X-good_for_meal),X-name podává X-food pokrmy a dá se zde dobře X-good_for_meal .
"inform(name=""Café Savoy"")&inform(food=Czech)&inform(good_for_meal=dinner)",Café Savoy nabízí českou kuchyni v době večeří.,inform(name=X-name)&inform(food=X-food)&inform(good_for_meal=X-good_for_meal),X-name nabízí X-food kuchyni v době X-good_for_meal .
"inform(area=""Staré Město"")&inform(address=""Náprstkova 44"")&inform(name=""Café Savoy"")",Café Savoy se nachází v lokalitě Starého Města a její adresa je Náprstkova 44.,inform(area=X-area)&inform(address=X-address)&inform(name=X-name),X-name se nachází v lokalitě X-area a její adresa je X-address .
goodbye(),Nashle !,goodbye(),nashle !
inform_no_match(area=Dejvice),"Ne, v okolí Dejvic nejsou žádné restaurace.",inform_no_match(area=X-area),"ne , v okolí X-area nejsou žádné restaurace ."
"inform(area=Smíchov)&inform(name=""U Tučňáků"")&inform(good_for_meal=breakfast)&inform(kids_allowed=no)","U Tučňáků se nachází na Smíchově a podává snídaně, ale nesmíte sem s dětmi.",inform(area=X-area)&inform(name=X-name)&inform(good_for_meal=X-good_for_meal)&inform(kids_allowed=no),"X-name se nachází na X-area a podává X-good_for_meal , ale nesmíte sem s dětmi ."
"inform(name=""Kočár z Vídně"")&inform(address=""Náprstkova 28"")",Restaurace Kočár z Vídně se nachází na adrese Náprstkova 28.,inform(name=X-name)&inform(address=X-address),restaurace X-name se nachází na adrese X-address .
inform(name=BarBar)&inform(phone=290510409),Telefon do BarBaru je 290510409,inform(name=X-name)&inform(phone=X-phone),telefon do X-name je X-phone
goodbye(),Dobrou chuť !,goodbye(),dobrou chuť !
inform(name=BarBar)&inform(price_range=cheap),BarBar je levná restaurace.,inform(name=X-name)&inform(price_range=X-price_range),X-name je X-price_range restaurace .
"inform(name=""U Tučňáků"")&inform(near=""TV Tower"")",Restaurace U Tučňáků se nachází v blízkosti televizního vysílače.,inform(name=X-name)&inform(near=X-near),X-name se nachází v blízkosti X-near .
"inform(name=""Švejk Restaurant"")&inform(near=Stromovka)&inform(price_range=cheap)",Restaurace Švejk je poblíž Stromovky a nabízí nízké ceny.,inform(name=X-name)&inform(near=X-near)&inform(price_range=X-price_range),X-name je poblíž X-near a nabízí X-price_range ceny .
"inform(name=""Café Savoy"")&inform(good_for_meal=brunch)",Café Savoy se hodí na pozdní snídaně,inform(name=X-name)&inform(good_for_meal=X-good_for_meal),X-name se hodí na X-good_for_meal
"inform(name=""Švejk Restaurant"")&inform(address=""Malostranské náměstí 5"")",Švejk Restaurant je na Malostranském náměstí 5.,inform(name=X-name)&inform(address=X-address),X-name je na X-address .
inform(name=Ferdinanda)&inform(food=German),Ferdinanda je dobrá německá restaurace.,inform(name=X-name)&inform(food=X-food),X-name je dobrá X-food restaurace .
goodbye(),Děkuji za zavolání. Děkuji.,goodbye(),děkuji za zavolání . děkuji .
"inform_no_match(area=""Malá Strana"")&inform_no_match(kids_allowed=no)","V oblasti poblíž Malé Strany nejsou žádné restaurace, kde je povolen vstup s dětmi.",inform_no_match(area=X-area)&inform_no_match(kids_allowed=no),"v oblasti poblíž X-area nejsou žádné restaurace , kde je povolen vstup s dětmi ."
"inform_no_match(area=Hradčany)&inform_no_match(near=""Prague Castle"")",Bohužel na Hradčanech poblíž Pražského hradu nejsou žádné restaurace.,inform_no_match(area=X-area)&inform_no_match(near=X-near),bohužel na X-area poblíž X-near nejsou žádné restaurace .
"inform(name=Místo)&inform(area=""Smíchov or Hradčany"")",Místo je příjemná restaurace v oblasti Smíchova nebo Hradčan.,inform(name=X-name)&inform(area=X-area),X-name je příjemná restaurace v oblasti X-area .
"inform(name=""Pivo & Basilico"")&inform(area=Smíchov)&inform(kids_allowed=no)","Pivo & Basilico je příjemná restaurace na Smíchově, která je přístupná dětem.",inform(name=X-name)&inform(area=X-area)&inform(kids_allowed=no),"X-name je příjemná restaurace na X-area , která je přístupná dětem ."
"inform(price=""between 0 and 150 Kč"")&inform(name=""U Konšelů"")",U Konšelů se obvykle ceny pohybují od 0 do 150 Kč.,inform(price=X-price)&inform(name=X-name),X-name se obvykle ceny pohybují X-price .
"inform(address=""Národní 12"")&inform(name=Ananta)",Ananta se nachází na adrese Národní 12,inform(address=X-address)&inform(name=X-name),X-name se nachází na adrese X-address
goodbye(),Mějte se !,goodbye(),mějte se !
"inform(name=Ananta)&inform(near=""Wenceslas Square"")&inform(price_range=cheap)",Ananta je levná restaurace nedaleko Václavského náměstí.,inform(name=X-name)&inform(near=X-near)&inform(price_range=X-price_range),X-name je X-price_range restaurace nedaleko X-near .
inform(name=BarBar)&inform(near=Stromovka)&inform(price_range=cheap),"Můžete zkusit BarBar, který je levný a blízko Stromovky.",inform(name=X-name)&inform(near=X-near)&inform(price_range=X-price_range),"můžete zkusit X-name , který je X-price_range a blízko X-near ."
"inform_only_match(name=""Švejk Restaurant"")&inform_only_match(near=""Petřín Tower"")&inform_only_match(price_range=expensive)","Omlouvám se, ale restaurace Švejk je jediná drahá restaurace u Petřínské rozhledny.",inform_only_match(name=X-name)&inform_only_match(near=X-near)&inform_only_match(price_range=X-price_range),"omlouvám se , ale X-name je jediná X-price_range restaurace u X-near ."
"inform(name=""Café Savoy"")&inform(address=""Náprstkova 13"")",Kavárna Savoy se nachází v ulici Náprstkova 13.,inform(name=X-name)&inform(address=X-address),X-name se nachází v ulici X-address .
